C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 03:41:11 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 16
Input data: [0001,0001,0001,0001,0001]
 957000000 IIU1IL2I2UX1XR [0001,0002]
 958000000 IIU1ILX1UIXXI1 [0001,0001]
 959000000 IIU1ILIL32US12 [0006,0008,0001]
 960000000 IIU1II3I2SR3L2 [0001,0022,0008,0004]
 961000000 IIU1IIR2L3R23U [0008,0008,0002,0004]
 962000000 IIU1IIUSI3U2XR [0001,0001,0002]
 963000000 IIU1III44L21C [0001,0001,0004,0001,0008]
 964000000 IIUSRCUII32SRI [0008,0001,0003,0001]
 965000000 IIUSRI1I22XXUI [0004,0001]
 966000000 IIUSRIIRIR2LXS [000a,0022]
 967000000 IIUSLCI1II2RX2 [0008,0001,0001,0001]
 968000000 IIUSLIRSI1C1U1 [0001,0002,0022]
 969000000 IIUSCXIL1I1UIL [0008,0001,0001,0008]
 970000000 IIUSCRIILSUXI1 [0004,0001,0002]
 971000000 IIUSCLXI1LSIRC [0003,0002]
 972000000 IIUSCI2L1IUSS [0001,0007]
 973000000 IIUSCIU22SLI2 [000a,0001,0004]
 974000000 IIUSCII3IXLSX1 [0001,0001]
 975000000 IIUSI1L1LSI1SC [0088,0003]
 976000000 IIUSI1IRSRCLXL [0001,0006]
 977000000 IIUSIXI1I2RSXU [0005]
 978000000 IIUSIRII2R1L1 [0005,0001,0008,0004]
 979000000 IIUSIL1RCRIR3 [0008,0004,0002,0008]
 980000000 IIUSII21I23XC1 [0001,0001,0001,0004]
 981000000 IIUSIIRILXR1LX [0005,0004]
 982000000 IIUXRI1IU2IXXX [0002]
 983000000 IIUXUIUXI1L1RS [0022]
 984000000 IIUXLIIS1LXUIU [0044,0004]
 985000000 IIUXIU1IRISR2U [0001,0006,0001]
 986000000 IIUXIISIU2L11 [0011,0004,0008]
 987000000 IIUI22SILXXRIC [0002,0001]
 988000000 IIUI22LIXXUIL [0001,0004,0008]
 989000000 IIUI22IIS2S2U2 [0111,0004,0004]
 990000000 IIUI2SII3LX2US [0001,0045]
 991000000 IIUI2R2SIR22RS [0002,000d]
 992000000 IIUI2RSRC22XSI [0006,0001]
 993000000 IIUI2RIRI32R33 [0004,0001,0004,0002,0001]
 994000000 IIUI2U1RI22U1 [0004,0001,0008,0004]
 995000000 IIUI2UI2L22I2U [0004,0008,0001,0001,0001]
 996000000 IIUI2L2XLIIUX2 [0004,0001,0001]
 997000000 IIUI2LSUSUCIIL [0008,0011,0001,0008]
 998000000 IIUI2LIR3L3LXC [0008,0002,0002]
 999000000 IIUI2I3R1I4LXR [0001,0008,0001,0002]
1000000000 IIUI2IR32RIX1R [0001,0002,0002,0008]
1001000000 IIUI2IU2IXR1XL [0004,0001,0001]
1002000000 IIUI2ILSCR2UX2 [0008,0002,0004]
1003000000 IIUI1SSC1UI21R [0001,0011,0002]
1004000000 IIUI1SII2LSS1X [00b1]
1005000000 IIUI1R2IX2S1I [0011,0008,0001]
1006000000 IIUI1RXIL1SLI2 [000c,0001,0001]
1007000000 IIUI1RIIL1R1U [0001,0001,0008,0002,0002]
1008000000 IIUI1L2RIS2IS1 [0002,0011,0003]
1009000000 IIUI1LSIRSIR22 [0002,0001,0023]
1010000000 IIUI1LILI2LSR3 [0001,0008,0022,0001]
1011000000 IIUI1I23RXL12U [0008,0001,0001]
1012000000 IIUI1I1RIR34S2 [0001,0002,0011,0008]
1013000000 IIUI1IXIX2R2L2 [0002,0008,0004]
1014000000 IIUI1IU21UXIR [0001,0004,0001,0002]
1015000000 IIUI1ILXIUX2XX [0001]
1016000000 IIUIS1SIRSI1RC [0001,000c,0022]
1017000000 IIUISSRCUIRXIL [0008,0088,0008]
1018000000 IIUISRC2L2USLI [0002,0005,0001]
1019000000 IIUISL1SLIRI [000d,0002,0001]
1020000000 IIUISLI1RIL3S1 [0001,0009,0005]
1021000000 IIUISI1C1LSLIL [0001,0001,0009,0008]
1022000000 IIUISIU1LCX22S [0008,0005]
1023000000 IIUIX1RI1U1LSU [0004,0022]
1024000000 IIUIXR1LIR22RX [0002,0008]
1025000000 IIUIXLIX1LI1XU [0002,0004]
1026000000 IIUIXIU22RIL [0004,0001,0008,0008]
1027000000 IIUIR22IUSXXU [0008]
1028000000 IIUIR2R2IISSL1 [0002,008a,0002]
1029000000 IIUIR2LI22LXIS [0004,0001,0003]
1030000000 IIUIR2ILIR43X2 [0002,0002,0004,0008]
1031000000 IIUIR1R2SLIL2U [000c,0008,0008]
1032000000 IIUIR1LI1USSUX [0001]
1033000000 IIUIR1IL12SUXR [0001,0001]
1034000000 IIUIRSLIRI2SUX [0001,0002]
1035000000 IIUIRXLILI3XXS [000a]
1036000000 IIUIRI3LS1XUI [0004,0006,0001]
1037000000 IIUIRI2LIRSLX [0001,0002,0001]
1038000000 IIUIRI1IU1R2UC [0001,0004,0004,0004,0004]
1039000000 IIUIRIR22SRSCU [0001,000c,0008]
1040000000 IIUIRIUX1LIXSU [0001,0088]
1041000000 IIUIRILIU23SSL [0001,0008,0032]
1042000000 IIUIU22U2RIIX1 [0001,0001,0001,0008]
1043000000 IIUIU2XRIR21U1 [0008,0008,0004]
1044000000 IIUIU2LXXI1I22 [0001,0001,0004]
1045000000 IIUIU2ILX2L2UI [0001,0002,0001,0001]
1046000000 IIUIUSIL21IR12 [0044,0002,0008,0001]
1047000000 IIUIUI32SXRI2L [0002,0001,0002]
1048000000 IIUIUI2SL1IR31 [000a,0004,0001,0002]
1049000000 IIUIUI1R12X2X1 [0001,0008]
1050000000 IIUIUIXR2S1I22 [0001,0009,0004]
1051000000 IIUIUIU31I2RSL [0004,0004,0004,0009]
1052000000 IIUIUILI3R3X33 [0001,0008,0001,0008]
1053000000 IIUIL22XI2RXSC [0011]
1054000000 IIUIL2SI1LIU1R [0004,0001,0004,0009]
1055000000 IIUIL2UI1US12L [0011,0008,0002]
1056000000 IIUIL2IRS21RXR [0008,0008]
1057000000 IIUIL1SLSIUIL2 [0004,0008,0007]
1058000000 IIUIL1L2R2I33R [0008,0001,0002,0004]
1059000000 IIUIL1IXIUXSR1 [0009,0001]
1060000000 IIUILSRII3L2L2 [0009,0008,0008,0001]
1061000000 IIUILXRSIR1C2U [0008,0001,0008]
1062000000 IIUILI3RIS2R3S [0001,0003,0005]
1063000000 IIUILI2RIU1L33 [0001,0004,0004,0008,0001]
1064000000 IIUILI1L2L1L [0001,0001,0002,0002]
1065000000 IIUILIXI23RSR1 [0008,000c,0001]
1066000000 IIUILIU3I22UX2 [0004,0001,0004,0008]
1067000000 IIUILILX1USLC [0001,000c]
1068000000 IIUILIILSSUCXS [0001,0044]
1069000000 IIUII3XSLI2SRX [0088]
1070000000 IIUII3U3XLSRIS [0001,0007]
1071000000 IIUII3L12R1ISR [0004,0008,0002,0022]
1072000000 IIUII23SSI1XR1 [0002,0001]
1073000000 IIUII22L2U33SI [0008,0004,0005,0001]
1074000000 IIUII2SSLSUIXU [00a9]
1075000000 IIUII2RSXUSLCX [0008]
1076000000 IIUII2LI24LSSR [0001,0002,0032]
1077000000 IIUIIS21UI22LX [0004,0001,0001]
1078000000 IIUIISU21LI1S2 [0001,0023,0004]
1079000000 IIUIIX2IUSLCXX [0004,0001]
1080000000 IIUIIXI2SRSLCC [0001,000c,0001]
1081000000 IIUIIR3LI3L33S [0004,0001,0008,000a]
1082000000 IIUIIR2I34XSSC [0002,0004,0011]
1083000000 IIUIIR1IL42U1U [0004,0002,0008,0004,0004]
1084000000 IIUIIRI3U44SXX [0002,0001]
1085000000 IIUIIU3X22I21S [0004,0001,0005]
1086000000 IIUIIU2RI23U41 [0008,0001,0004,0001,0004]
1087000000 IIUIIU1IX3S22L [0011,0004,0002]
1088000000 IIUIIUI4R43XS [0001,0001,0006]
1089000000 IIUIIL32L1IU4L [0008,0008,0001,0004,0002]
1090000000 IIUIIL22IX2LXU [0001,0004,0004]
1091000000 IIUIIL1SSLIUS1 [004e,0001]
1092000000 IIUIILSLSLC1RI [0001,0022,0008,0001]
1093000000 IIUIILI1L32U3X [0001,0004,0004,0004]
1094000000 IIUIII34U2L2S3 [0001,0004,000c,0001]
1095000000 IIUIIIXSSLCLSC [0001,0088,0001]
1096000000 IIUIIIU3L1S2UC [0001,0001,0006,0004]
1097000000 IIUIIILX2L3XLX [0001,0001]
1098000000 IIL1SI1LSUCILC [0004,0003,0008]
1099000000 IIL1SIISLIRSSC [0888,0021]
1100000000 IIL1XIRILI31L1 [0002,0008,0008,0008]
1101000000 IIL1R1I22XIS1X [0003]
1102000000 IIL1RSIIR1L1XS [008a]
1103000000 IIL1RI1SI12RIR [0001,0003,0001,0002]
1104000000 IIL1RIRI33RIX2 [0002,0008,0004,0001]
1105000000 IIL1RILIXR2SLI [0002,000c,0001]
1106000000 IIL1RIIIXRXL2U [0002,0008,0002]
1107000000 IIL1U1IL2USRSR [0007]
1108000000 IIL1UI2SCU1IC [0004,0004,0008,0001]
1109000000 IIL1UISSIXIL [000d,0008]
1110000000 IIL1UIUI3X2IUS [0004,0001,0044]
1111000000 IIL1UIIX1UIL31 [0001,0001,0008,0008]
1112000000 IIL1LXIUIS1RXL [000a]
1113000000 IIL1LI1I1S1IR2 [0008,0001,0002,0009]
1114000000 IIL1LIU2UI2IXU [0008,0002,0001,0001]
1115000000 IIL1LIISIU33XL [0011,0004,0004]
1116000000 IIL1I21SR1UIIR [0003,0004,0001,0002]
1117000000 IIL1I2U2XSUIIS [000c,0011]
1118000000 IIL1I2I2RISL3X [0008,0001,0009]
1119000000 IIL1ISXIRSLC1S [0005]
1120000000 IIL1IXRI1I3USX [0001,0002]
1121000000 IIL1IR2IS1UXC1 [0001,0001,0008]
1122000000 IIL1IRXIRIS22S [0003,0009]
1123000000 IIL1IRII4U3X3U [0001,0001,0002,0004]
1124000000 IIL1IU1UIL1IR4 [0004,0008,0004,0002,0008]
1125000000 IIL1IUI2LX1SSU [0007]
1126000000 IIL1IL2U2L1IX2 [0008,0002,0008]
1127000000 IIL1ILSIUS1IRC [000d,0008,0002]
1128000000 IIL1ILIUIXRS1R [0008,0088,0002]
1129000000 IIL1II3I3L2X3L [0001,0001,0008,0008]
1130000000 IIL1IIR2UX2RI [0001,0002,0001,0001]
1131000000 IIL1IIUSL2XCXU [0001,0002]
1132000000 IIL1IILILX1S2X [0001,0009]
1133000000 IILSRIUSLCLXI1 [0001,0008]
1134000000 IILSUCUIR2XU1 [0008,0008]
1135000000 IILSUI1CLSSCU1 [0044,0004]
1136000000 IILSUIIXIRS1R1 [000c,0003]
1137000000 IILSLII2U2I33L [0001,0001,0001,0009]
1138000000 IILSCRI1I2SUX [0008,0002]
1139000000 IILSCUISILIX1X [0008,0008]
1140000000 IILSCLIIX1X1XR [0002]
1141000000 IILSCIR21R2RI [0008,0004,0002,0001]
1142000000 IILSCIL1UI1XUC [0008,0008,0004]
1143000000 IILSCIIIRSL22X [0008,0009,0001]
1144000000 IILSI1CLIXRIL2 [0001,0001,0008,0008]
1145000000 IILSISIL1ISCR2 [0008,0222,0008]
1146000000 IILSIRI12C2XI3 [0008,0001,0001,0001]
1147000000 IILSIUI1UIXLS [0009,0009]
1148000000 IILSILIXIL2C21 [0008,0008,0008,0001]
1149000000 IILSIIXUI2CLXU [0004,0001,0002]
1150000000 IILSIILILS1U2 [0088,0004,0009]
1151000000 IILXRIIL1USXIC [0002,0001]
1152000000 IILXLISIR1CRX [0002,0008]
1153000000 IILXIRI2SSISL [0889]
1154000000 IILXILSI1CUXLC [0001,0004]
1155000000 IILXIILI2SL2XX [0008]
1156000000 IILI22UIR2S1XI [0001,0003,0001]
1157000000 IILI22IR3SRXI2 [0008,0001,0001]
1158000000 IILI2SLI2RXISU [0088,0044]
1159000000 IILI2XISI1RSS [002b]
1160000000 IILI2R1RII4RX [0002,0002,0001,0001]
1161000000 IILI2RI2LIRSSL [0008,0002,000d]
1162000000 IILI2U2XUIL1U2 [0008,0004,0001]
1163000000 IILI2USRI2U2XX [0001]
1164000000 IILI2UIR23IXLX [0004,0002,0001]
1165000000 IILI2L1XILXUIC [0008,0002,0001]
1166000000 IILI2LI2SIS2SL [0008,088c]
1167000000 IILI2I32R3ILS2 [0001,0002,0009,0008]
1168000000 IILI2ISL1RI33U [0002,0001,0008,0022]
1169000000 IILI2IRI3LSL1 [0008,0001,000c,0002]
1170000000 IILI2IL3I3L1L [0001,0008,0008,0008,0008]
1171000000 IILI2IIU2L31SX [0008,0001,0004]
1172000000 IILI1SI2UX1U1R [0006,0002]
1173000000 IILI1RS1LIUXIX [0011,0008]
1174000000 IILI1U2U2RIXIR [0002,0004,0002,0002]
1175000000 IILI1UXSLIISR [0088,0022]
1176000000 IILI1UII3SS2RS [0002,0113]
1177000000 IILI1L1IX2SXUC [0001]
1178000000 IILI1LIXL1USCS [0001,0006]
1179000000 IILI1I3U2U2U1 [0001,0004,0004,0002]
1180000000 IILI1I2LI3S22U [0001,0009,0001,0002]
1181000000 IILI1ISLSIR2RC [000d,0002,0002]
1182000000 IILI1IRXI2US22 [0005,0001,0008]
1183000000 IILI1IL3SI1R2U [0001,0001,0003,0002]
1184000000 IILI1IIR24R24 [0001,0008,0002,0002,0001]
1185000000 IILIS1I2RSRSIS [0073]
1186000000 IILISR1ILXLISX [0003]
1187000000 IILISUCXIUSI2U [0044,0001,0004]
1188000000 IILISL1IU1US1X [0044]
1189000000 IILISI1U1XCLSC [0001,0004,0001]
1190000000 IILISIRILS1XSC [0008,0003]
1191000000 IILISIIL1U12CR [0001,0004,0008,0008,0002]
1192000000 IILIXXUIUSI11 [0044,0001]
1193000000 IILIXLXRIIU2XS [0005]
1194000000 IILIXIR1LI2SXU [0001,0001]
1195000000 IILIR22I31ISX [0001,0008,0002]
1196000000 IILIR2XIUSLI22 [0001,0008,0003]
1197000000 IILIR2L1IL3XIU [0008,0002,0008,0004]
1198000000 IILIR2IUILS3 [0002,0001,000c,0008]
1199000000 IILIR1XUSI1XUI [0004,0001]
1200000000 IILIR1LSCIU1XS [0001,0044]
1201000000 IILIR1IU21XIR2 [0001,0002,0002,0008]
1202000000 IILIRSLCR22UXI [0002,0001,0001]
1203000000 IILIRXL1RIRIR3 [0002,0002,0002,0004]
1204000000 IILIRI3UIS2R3X [0001,0005,0004]
1205000000 IILIRI2L22UI2C [0001,0004,0004,0001,0002]
1206000000 IILIRI1I3U4XRX [0001,0002,0001]
1207000000 IILIRIR3XISL2S [0002,0089]
1208000000 IILIRIU1I2SS1L [0001,0007,0004]
1209000000 IILIRILI3R3U2S [0001,0008,0001,0009]
1210000000 IILIU22SIU1LXL [0004,0002]
1211000000 IILIU2SI2XXL [000a]
1212000000 IILIU2UIRXSR1U [0088,0002]
1213000000 IILIU2IR13L33 [0001,0004,0004,0002]
1214000000 IILIU1SUIISLSL [0001,004d]
1215000000 IILIU1UIR3UXLC [0004,0002,0001]
1216000000 IILIU1IXUIR3RC [0004,0002,0002,0002]
1217000000 IILIUSUI2UXI22 [0001,0003,0001]
1218000000 IILIUXUSIIXL1R [0008,0006]
1219000000 IILIUI3U2R32U [0001,0008,0008,0001]
1220000000 IILIUI2U1I3L43 [0002,0001,0002,0001,0001]
1221000000 IILIUI1LXRSSLC [000c,0001]
1222000000 IILIUIR32S2I1U [0002,0005,0001,0002]
1223000000 IILIUIU2S2RSIU [0004,000e,0004]
1224000000 IILIUILI4LS31C [0004,0008,0008,0008,0001]
1225000000 IILIL22SIR22R2 [0008,0003,0002]
1226000000 IILIL2SLIUI22 [0008,0001,000c,0004]
1227000000 IILIL2UI1IR14 [0008,0001,0002,0004,0008]
1228000000 IILIL2IUSXSISU [0026]
1229000000 IILILSIXLSRI1X [0001]
1230000000 IILILI33SL1R11 [0008,000c,0002]
1231000000 IILILI22L3SI2C [0001,0005,0001,0008]
1232000000 IILILI1X2SLISL [0008,004c]
1233000000 IILILISIXR1SSU [00e4]
1234000000 IILILIRIS3LS2L [0008,000b,0004]
1235000000 IILILILS1I13S1 [0088,0009,0001]
1236000000 IILILIIL2R4L2S [0008,0001,0001,0088]
1237000000 IILII3X2L1I3L [0004,0001,0001,0008]
1238000000 IILII3U32U1I4 [0004,0004,0008,0001,0001]
1239000000 IILII3L2I2LS3R [0001,0001,0005,0001]
1240000000 IILII23S22XISR [0009,0022]
1241000000 IILII22UI44XXC [0008,0004,0001]
1242000000 IILII2S1UIR32X [0009,0002,0001]
1243000000 IILII2U2USLI12 [0001,0001,0003,0001]
1244000000 IILII2LXIXRXUX [0001]
1245000000 IILIIS22UIUXLS [0011,0011]
1246000000 IILIISU21SLIXR [0008,0045]
1247000000 IILIIX2IU2L1LC [0008,0001,0008,0002]
1248000000 IILIIXI2U23U33 [0001,0004,0001,0002]
1249000000 IILIIR3LISXRS1 [0005,0008]
1250000000 IILIIR2I3R2R41 [0002,0001,0002,0001,0001]
1251000000 IILIIR1IL2UXSU [0001,0008,0006]
1252000000 IILIIRI3UX2XSL [0001,0009]
1253000000 IILIIU31I32L1C [0008,0001,0001,0002,0001]
1254000000 IILIIU2S2SSIUC [00d1,0004]
1255000000 IILIIU1XISR1XU [0001,000a]
1256000000 IILIIUSCLI4L4 [0004,0008,0001,0008,0008]
1257000000 IILIIUIXR1SXSL [000c]
1258000000 IILIIL3LS1LX1L [0088,0004]
1259000000 IILIIL13SIX1RC [0008,0011,0001]
1260000000 IILIILSUXI1RXC [0001,0001]
1261000000 IILIILI1UXR3RX [0008,0001,0002]
1262000000 IILIII34US23L2 [0001,0001,0008,000c]
1263000000 IILIIIXSR1LXXU [0004]
1264000000 IILIIIU3U12L4L [0001,0002,0004,0008,0008]
1265000000 IILIIILX2L2SLX [0001,0001]
1266000000 IIIS1U1II22UXR [0004,0001,0022]
1267000000 IIIS1LIUXRIRXS [0111]
1268000000 IIIS1IL22SSUI [0446,0001]
1269000000 IIISXIR1 [0002,0001]
1270000000 IIISRSI1RIXU1R [0019,0002]
1271000000 IIISRIRI1RXSSL [0198]
1272000000 IIISU1RIISL2UX [0002,0088]
1273000000 IIISUXRILSLC [0004,0001]
1274000000 IIISUIRIU3US1X [0044,0044]
1275000000 IIISL1UI12U1I3 [0022,0004,0001,0001]
1276000000 IIISLI2RXLSI [0888,0001]
1277000000 IIISLIUIR2R3 [0004,0002,0011,0001]
1278000000 IIISI2RI3S2XU1 [0444,0002]
1279000000 IIISI1RI22R2 [0001,0001,0044,0001]
1280000000 IIISISILSUCXSL [022a]
1281000000 IIISIRI33S1LSC [0002,0008,0111]
1282000000 IIISIUSRISUSCX [008c]
1283000000 IIISIL1U1I1U2S [0001,0001,0046]
1284000000 IIISII2R2U2R2S [0001,0004,0222]
1285000000 IIIXSLIIR2S1R [008a,0002]
1286000000 IIIXR1IRISLXL1 [0008,0002]
1287000000 IIIXRIXI1SRC21 [0004,0001,0002]
1288000000 IIIXU1RIRXXIUC [0004,0004]
1289000000 IIIXUI2R1RXUXL [0002]
1290000000 IIIXUILSLCL [0001,0004,0001]
1291000000 IIIXLSUCIIUS22 [0005,0004,0002]
1292000000 IIIXLIR2IU2U3S [0001,0004,0088]
1293000000 IIIXIXU1SLCRI1 [0008,0001,0004]
1294000000 IIIXIU22SXI1C [0001,0004]
1295000000 IIIXIL22IL1X1C [0008,0008,0001]
1296000000 IIIXIIR32LSL2 [0002,000c,0001]
1297000000 IIIR22R1IUX1UC [0002,0001,0008]
1298000000 IIIR22LI3RI2SS [0001,0008,0015]
1299000000 IIIR2S1I22IC [0001,0003,0001,0001]
1300000000 IIIR2SIUIL1US1 [0001,0009,0003]
1301000000 IIIR2R21LILSI3 [0001,0009,0001,0002]
1302000000 IIIR2RI2R1IXU2 [0001,0004,0004,0002]
1303000000 IIIR2U2SLIR2IS [000a,0002,0003]
1304000000 IIIR2USXLIIXUC [0008,0004]
1305000000 IIIR2UIXU22I3X [0001,0002,0001]
1306000000 IIIR2L2I2U3U3U [0001,0002,0008,0004]
1307000000 IIIR2LXR1L1UI1 [0008,0001,0001]
1308000000 IIIR2LIL3U1U12 [0002,0002,0004,0008]
1309000000 IIIR2I23I2LXR2 [0001,0001,0002,0001]
1310000000 IIIR2ISUI12SU1 [0001,0019,0001]
1311000000 IIIR2IRI31U43L [0001,0002,0004,0001,0001]
1312000000 IIIR2IL3XI3RX2 [0008,0001,0001]
1313000000 IIIR2IIXSL21X [0002,0001]
1314000000 IIIR12RISRC3R3 [0004,0002,0004,0001]
1315000000 IIIR12LIIRSXU1 [0002,0002,0001]
1316000000 IIIR1SR1I2U2IL [0001,0009,0001,0008]
1317000000 IIIR1X1UI1RSXI [0002,0001]
1318000000 IIIR1R2U12IL [0004,0002,0002,0008]
1319000000 IIIR1RI1U3R1S [0002,0001,000a]
1320000000 IIIR1U2UI23XRS [0004,0009]
1321000000 IIIR1USCISSXR [0002]
1322000000 IIIR1UIU32UIL [0002,0004,0001,0001,0008]
1323000000 IIIR1L12L2XILX [0002,0008]
1324000000 IIIR1LI3SU2L11 [0008,0044,0001]
1325000000 IIIR1LIISL12L2 [0001,0008,0001,0088]
1326000000 IIIR1I21RX1LIR [0001,0002,0008,0002]
1327000000 IIIR1IX2UXU1LX [0004]
1328000000 IIIR1IU32UILSX [0002,0004,0001]
1329000000 IIIR1IL2XUSU1 [000c,0001]
1330000000 IIIR1IIU33XS1X [0001,0006]
1331000000 IIIRS1IIR22XSS [0033]
1332000000 IIIRSRCUIIS3LX [0004,0008,0011]
1333000000 IIIRSUXUIILSCR [0004,0008,0002]
1334000000 IIIRSLCL21IR2X [0008,0008,0002]
1335000000 IIIRSI1XLSCIXC [0008,0001]
1336000000 IIIRSIUILSRXXC [0001]
1337000000 IIIRXRI2IUSL1U [0002,000a,0004]
1338000000 IIIRXLXILSI1 [0001,0009]
1339000000 IIIRXILIL2S22U [0009,0001,0002]
1340000000 IIIRI32U2UXRX1 [0001,0001]
1341000000 IIIRI3R3R2ISL2 [0002,0002,0088,0002]
1342000000 IIIRI3U1XI3R3X [0004,0001,0002]
1343000000 IIIRI3LX1XL1I [0008,0001,0001]
1344000000 IIIRI23R2U3SIU [0001,0002,0006,0004]
1345000000 IIIRI2S2L2XUIX [0011,0002]
1346000000 IIIRI2R1I34S32 [0001,0003,0002,0001]
1347000000 IIIRI2UI2S3XS [0002,0015]
1348000000 IIIRI2I34L31X2 [0001,0002,0001,0001]
1349000000 IIIRI1XR1SIUXS [0031]
1350000000 IIIRI1U22XLIRC [0001,0008,0008,0002]
1351000000 IIIRI1I2XR2LX1 [0001,0002,0002]
1352000000 IIIRIS1U2XXC [0003]
1353000000 IIIRISL2SC1XXC [0001]
1354000000 IIIRIX12RXIR2X [0001,0002]
1355000000 IIIRIXIR3U1L3X [0002,0004,0001]
1356000000 IIIRIR3IRSL3SU [0002,0002,0046]
1357000000 IIIRIRS2RI3UXS [0022,0003]
1358000000 IIIRIRI1S2U31C [0002,0003,0001,0004]
1359000000 IIIRIU3R2SSIU2 [0026,0004,0001]
1360000000 IIIRIU2R1S2XRX [0002]
1361000000 IIIRIU1USUSSIL [0311,0008]
1362000000 IIIRIUX1IR23U3 [0002,0002,0004,0001]
1363000000 IIIRIUIUX1SL11 [0001,0001,0003]
1364000000 IIIRIL3I3U23L1 [0001,0001,0008,0004,0001]
1365000000 IIIRIL2I2SL2X [0001,0001,000c]
1366000000 IIIRILS2LXSC1L [0003,0004]
1367000000 IIIRILI3R24S1L [0002,0001,0009,0001]
1368000000 IIIRII4R4S2UXL [0002,0001,0009]
1369000000 IIIRII23U3X1RC [0001,0001,0004,0004]
1370000000 IIIRIIXRS1XR1R [0044,0002]
1371000000 IIIRIIU2R43SL1 [0001,0004,0088,0004]
1372000000 IIIU22S1LXLISR [0013]
1373000000 IIIU22UXIR2IUX [0001,0002,0004]
1374000000 IIIU22IRXUXLSI [000c,0001]
1375000000 IIIU2SLSIUILSU [000b,0003]
1376000000 IIIU2XUXLIIR2U [0001,0002,0002]
1377000000 IIIU2R2IL3X1LX [0002,0008]
1378000000 IIIU2RI3S2U1IR [0002,0001,0011,0002]
1379000000 IIIU2RIIS2X2XS [0013]
1380000000 IIIU2UI32S2SC2 [0044,0001,0001]
1381000000 IIIU2UIIL3U3L3 [0001,0008,0001,0002,0001]
1382000000 IIIU2L1I1RSL2S [0008,000d]
1383000000 IIIU2LISSC1RXL [0001,0008]
1384000000 IIIU2I3U2R12U3 [0002,0004,0004,0004]
1385000000 IIIU2I2LI3LX3L [0001,0002,0001,0008]
1386000000 IIIU2IR3IL12U4 [0001,0008,0001,0008,0004]
1387000000 IIIU2IU1ISXXUC [0001,0001]
1388000000 IIIU2ILI3XUXUX [0001,0001]
1389000000 IIIU12XRSUIIU [0009,0001,0004]
1390000000 IIIU12L2U2IUIU [0008,0001,0001,0004,0004]
1391000000 IIIU12ILS1XC2R [0008,0001,0008]
1392000000 IIIU1SI2U2I12 [0001,0001,0005,0004]
1393000000 IIIU1XI1I1S2 [0001,0005,0001]
1394000000 IIIU1R1RSIUI2R [0001,0004,0001,0005]
1395000000 IIIU1RI2UIL3L4 [0001,0001,0008,0001,0001]
1396000000 IIIU1U2S1IXLXR [000a]
1397000000 IIIU1UI2L2U3S1 [0001,0011,0002]
1398000000 IIIU1L2XI2L2UC [0001,0002,0002]
1399000000 IIIU1LSUI1XXLI [0008,0001]
1400000000 IIIU1LIRXI3L2U [0004,0001,0008,0002]
1401000000 IIIU1I3I4R43R [0001,0001,0008,0001,0002]
1402000000 IIIU1IS12R2IU1 [0004,0002,0004,0011]
1403000000 IIIU1IR1XI2SCU [0001,0002,0004,0004]
1404000000 IIIU1IUI2UXR3S [0004,0004,0003]
1405000000 IIIU1II33U3S2 [0001,0004,0005,0001]
1406000000 IIIUS1UISSCUXL [0022]
1407000000 IIIUSSI1RCR1XC [0001,0044]
1408000000 IIIUSRCI2ISS12 [0091,0002,0001]
1409000000 IIIUSLC2UIS21C [0002,0008,0004,0001]
1410000000 IIIUSC2S1I2LXC [0004,0001]
1411000000 IIIUSCRIIX3SR [0004,0002,0022]
1412000000 IIIUSCI2L33L12 [0001,0008,0001,0002]
1413000000 IIIUSI2IR1SUSS [00d5]
1414000000 IIIUSIR1IX2R1U [0002,0002,0005]
1415000000 IIIUSIIR3X2LXU [0001,0008]
1416000000 IIIUXUSCRSIR1C [0002,0004,0002]
1417000000 IIIUXIR2SL1U1U [0004,0006]
1418000000 IIIUI33U3ILSL [0001,0001,0004,0006]
1419000000 IIIUI3SXXUIR11 [0004,0002]
1420000000 IIIUI3RS2LI1XR [0004,0003,0002]
1421000000 IIIUI3L33U23SX [0001,0001]
1422000000 IIIUI3IS2U2X2L [0011,0001,0008]
1423000000 IIIUI23IL3SUSR [0004,0001,000e]
1424000000 IIIUI2X1IU3S2 [0004,0005,0001]
1425000000 IIIUI2U32UX1IU [0004,0001,0004,0004]
1426000000 IIIUI2L2IR13S1 [0001,0008,0005,0002]
1427000000 IIIUI2IUX2LXX [0001,0001]
1428000000 IIIUI1R2ISUSSS [04d1]
1429000000 IIIUI1L1LX2C [0001,0002,0001]
1430000000 IIIUI1IUXXRXU1 [0004,0001]
1431000000 IIIUISSC1X1UXC [0011]
1432000000 IIIUISLIL3S12R [0009,000a,0002]
1433000000 IIIUIXSLCL1R [0001,0001,0001]
1434000000 IIIUIR32U3L2XR [0002,0001,0001]
1435000000 IIIUIR22UIU3RX [0001,0001,0001,0004]
1436000000 IIIUIR12L1L1LC [0001,0002,0002,0004]
1437000000 IIIUIRSL2I3R [0003,0001,0001,0002]
1438000000 IIIUIRIX2UXU2X [0004,0008]
1439000000 IIIUIU3UI13L31 [0001,0001,0004,0004,0002]
1440000000 IIIUIU2L1U1U1S [0001,0004,0003]
