126a [000a,0006,0012]
126b [000b,0006,0012]
126c [000c,0006,0012]
126d [000d,0006,0012]
126e [000e,0006,0012]
126f [000f,0006,0012]
1271 [0001,0007,0012]
1272 [0002,0007,0012]
1273 [0003,0007,0012]
1274 [0004,0007,0012]
1275 [0005,0007,0012]
1276 [0006,0007,0012]
1277 [0007,0007,0012]
1279 [0009,0007,0012]
127a [000a,0007,0012]
127b [000b,0007,0012]
127c [000c,0007,0012]
127d [000d,0007,0012]
127e [000e,0007,0012]
127f [000f,0007,0012]
1291 [0001,0121,0008]
1293 [0003,0121,0008]
1295 [0005,0121,0008]
1296 [1212,0084]
1297 [0007,0121,0008]
1298 [0008,0121,0008]
1299 [0009,0121,0008]
129a [000a,0121,0008]
129b [000b,0121,0008]
129c [000c,0121,0008]
129d [000d,0121,0008]
129e [000e,0121,0008]
129f [000f,0121,0008]
12a2 [0002,000a,0012]
12a3 [0003,000a,0012]
12a5 [0021,0084,0012]
12a6 [0006,000a,0012]
12a7 [0007,000a,0012]
12a8 [0008,000a,0012]
12a9 [0009,000a,0012]
12aa [000a,000a,0012]
12ab [000b,000a,0012]
12ac [000c,000a,0012]
12ad [000d,000a,0012]
12ae [000e,000a,0012]
12af [000f,000a,0012]
12b1 [0001,000b,0012]
12b2 [0002,000b,0012]
12b3 [0003,000b,0012]
12b4 [0024,0121,0008]
12b5 [0005,000b,0012]
12b6 [0006,000b,0012]
12b7 [0007,000b,0012]
12b8 [0008,000b,0012]
12b9 [0009,000b,0012]
12ba [000a,000b,0012]
12bb [000b,000b,0012]
12bc [000c,000b,0012]
12bd [000d,000b,0012]
12be [000e,000b,0012]
12bf [000f,000b,0012]
12d1 [0001,0121,000c]
12d3 [0003,0121,000c]
12d4 [0004,0121,000c]
12d5 [0005,0121,000c]
12d6 [0006,0121,000c]
12d7 [0007,0121,000c]
12d8 [0008,0121,000c]
12d9 [0009,0121,000c]
12da [000a,0121,000c]
12db [000b,0121,000c]
