C:\Program Files\nodejs\node.exe --max-old-space-size=25000 .\main.js
Shape Processing Unit 0.3.0
Sun Jul 11 2021 00:10:00 GMT-0700 (Pacific Daylight Time)

     Iters       ToDo      Total        Ops
     41600       6599      48198  795040185
     41700       6499      48198  796739867
     41800       6399      48198  798779159
     41900       6299      48198  800817147
     42000       6199      48198  802746037
     42100       6099      48198  804516227
     42200       5999      48198  806485727
     42300       5899      48198  807965061
     42400       5799      48198  810436111
     42500       5699      48198  812472589
     42600       5599      48198  814841901
     42700       5499      48198  816476624
     42800       5399      48198  818519776
     42900       5299      48198  820574940
     43000       5199      48198  822370727
     43100       5099      48198  824455535
     43200       4999      48198  826333552
     43300       4899      48198  828314045
     43400       4799      48198  830061690
     43500       4699      48198  831810251
     43600       4599      48198  833183447
     43700       4499      48198  834732080
     43800       4399      48198  836357751
     43900       4299      48198  837966274
     44000       4199      48198  839660892
     44100       4209      48308  842433369
     44200       4169      48368  848474579
     44300       4132      48431  854980223
     44400       4033      48432  857470010
     44500       3933      48432  859229452
     44600       3833      48432  861014225
     44700       3733      48432  862933190
     44800       3633      48432  864849537
     44900       3533      48432  867017521
     45000       3433      48432  869064835
     45100       3333      48432  870912623
     45200       3233      48432  872576682
     45300       3133      48432  874110667
     45400       3033      48432  876027151
     45500       2933      48432  878021178
     45600       2833      48432  879708628
     45700       2733      48432  881412304
     45800       2633      48432  883385404
     45900       2533      48432  885421841
     46000       2433      48432  887270390
     46100       2333      48432  888890383
     46200       2233      48432  891023712
     46300       2133      48432  893027377
     46400       2033      48432  895008956
     46500       1933      48432  896618850
     46600       1833      48432  898217615
     46700       1733      48432  899705151
     46800       1633      48432  901366727
     46900       1533      48432  902824647
     47000       1433      48432  904411588
     47100       1333      48432  905974801
     47200       1233      48432  907680960
     47300       1133      48432  908939294
     47400       1033      48432  910420123
     47500        933      48432  912348199
     47600        833      48432  914050361
     47700        733      48432  915790714
     47800        633      48432  917229210
     47900        533      48432  918834749
     48000        433      48432  920387167
     48100        333      48432  922506352
     48200        233      48432  924553683
     48300        133      48432  926099223
     48400         33      48432  927598842

Stats
Iters: 48432
Ops: 928665570
ToDo:  0
Total: 48432
